geo,ds,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
Ireland,2011-12-01,2.38342,1257.5999755859375,0.008532763666636134,-0.20936205135554087,0.7453970792635329
Ireland,2012-01-01,104.296773,1312.4100341796875,0.043583062704985354,42.75929252922271,0.016962087367663692
Ireland,2012-02-01,2.162719,1365.6800537109375,0.04058946376811723,-0.9792637975481754,0.02837309068880467
Ireland,2012-03-01,2.244898,1370.8699951171875,0.0038002615562462427,0.03799800158966571,-0.26382835829216156
Ireland,2012-04-01,1.829268,,0.0,-0.18514426936101336,-0.41829275971219737
Ireland,2012-05-01,1.829268,,0.0,0.0,-0.29829274972937025
Ireland,2012-06-01,1.626016,,0.0,-0.11111111111111116,-0.4008755384605748
Ireland,2012-07-01,1.62767,,0.0,0.00101721016275369,-0.37627677466649145
Ireland,2012-08-01,2.030457,,0.0,0.24746232344394148,-0.020304563629441774
Ireland,2012-09-01,1.619433,,0.0,-0.20242930532387549,-0.37619440889904454
Ireland,2012-10-01,1.210898,,0.0,-0.25227039340312307,-0.5676645851408333
Ireland,2012-11-01,0.807265,1416.1800537109375,0.033052046331991214,-0.33333360861112993,-0.7322107125003275
Ireland,2012-12-01,1.214575,1426.18994140625,0.007068230956284616,0.504555505317337,-0.49040664255565536
Ireland,2013-01-01,104.827346,1498.1099853515625,0.050428096466868855,85.3078410143466,0.005087146847774449
Ireland,2013-02-01,1.108871,1514.6800537109375,0.011060648765041536,-0.9894219300372252,-0.48727920733114205
Ireland,2013-03-01,0.499002,1551.1800537109375,0.024097498287229513,-0.5499909367275364,-0.7777172949505946
Ireland,2013-04-01,0.499002,,0.0,0.0,-0.7272121963539514
Ireland,2013-05-01,0.399202,,0.0,-0.19999919840000646,-0.7817695384164595
Ireland,2013-06-01,0.7,,0.0,0.7534982289667886,-0.569499931119989
Ireland,2013-07-01,0.700701,,0.0,0.0010014285714285975,-0.5695067181922626
Ireland,2013-08-01,0.199005,,0.0,-0.7159915570264634,-0.9019900446057217
Ireland,2013-09-01,0.199203,,0.0,0.0009949498756312014,-0.8769921324315362
Ireland,2013-10-01,0.099701,,0.0,-0.499500509530479,-0.9176635852070116
Ireland,2013-11-01,0.3003,1805.81005859375,0.16415244914583127,2.0120058976339257,-0.628003195976538
Ireland,2013-12-01,0.2,1848.3599853515625,0.023562791975445974,-0.333999333999334,-0.8353333470555544
Ireland,2014-01-01,105.018701,1782.5899658203125,-0.035582905955811595,524.0935049999999,0.0018254301697191444
Ireland,2014-02-01,-0.099701,1859.449951171875,0.0431170301781616,-1.0009493642470402,-1.0899121719298277
Ireland,2014-03-01,0.19861,1878.0400390625,0.009997627459082281,-2.9920562481820645,-0.6019855631841156
Ireland,2014-04-01,0.297915,,0.0,0.4999999999999998,-0.4029783447761732
